seqnames start end ATAC A1A B155 pcJN pFR CTCF K27ac K27m3 K4m K4m3 RNA index
chr1 65120 65719 0.0501627481758077 0 0 0 0 0 0 0 0 0 0 0
chr1 450441 451040 0.218275480874341 0 0 0 0 0 0 0 0 0 0 1
chr1 685417 686016 0.218275480874341 0 0 0 0 0 0 0 0 0 0 2
chr1 923624 924223 0.521967943942872 0.260035593008731 0.114155770573751 0.186917365811674 0.121441652737077 0.198708484588936 0.100417074176612 0 0.184670709083267 0.858732045006221 2.48112647535003 3
chr1 943904 944503 0.63268602110969 0.283828169543113 0.279189276863074 0.331014064676265 0.237025442345851 0.348869273711534 0.295678133217496 0 0.812779038657446 0.404548082637537 3.38961878763876 4
chr1 960285 960884 0.352491239988165 0.149196011270662 0.0608179156180968 0.167503421081911 0.121441652737077 0.134373802892045 0.143077908967418 0 0 0.969460644245793 2.34989249967692 5
chr1 966183 966782 0.861631175464851 0.179668391622079 0.261678640533779 0.344429609614839 0.467732383324906 0.178304564872613 0.373961505668526 0 0.327581644795025 1.08091495885663 1.86566962701168 6
chr1 974899 975498 0.0998473533320906 0.0809733511013154 0.161653644096701 0.167503421081911 0.0649519054279608 0.0588233132451015 0.18192072550849 0 0.327581644795025 0.107106812458015 0.564370719787877 7
chr1 998665 999264 0.463087828217449 0.179668391622079 0.0883051647379793 0 0.0941146023143348 0.218196917649892 0.408377357065606 0 0 1.34335147195234 2.53928669399418 8
chr1 1013198 1013797 0.661959317958442 0.306384277020849 0.327845072019776 0.0547914845897062 0.216239554496484 0.41422437972081 0.397204560043512 0 0.237706819278429 1.53773852282622 2.3924401789494 9
chr1 1019821 1020420 0.394955730187991 0.821937135516641 0.243432209154079 0.0547914845897062 0.311452928445446 0.521236181317352 0.100417074176612 0 0 1.11716851151717 3.28717466118526 10
chr1 1070668 1071267 0.118231979117123 0 0.0608179156180968 0.167503421081911 0 0 0.0774046097938808 0 0.299640639103322 0.192955301870826 0 11
chr1 1081524 1082123 0.135869531088847 0.149196011270662 0.114155770573751 0 0.147150215729107 0.236848008404405 0.18192072550849 0 0.054031307936261 0.0568469415448136 2.38416363733688 12
chr1 1173581 1174180 0.140169148581334 0.0809733511013154 0.0608179156180968 0.0797953383715889 0.0649519054279608 0.0854939388721562 0 0.116360311598084 0.145334724131592 0.0568469415448136 0 13
chr1 1203209 1203808 0.15281896039691 0 0.183586691849227 0.125859766465754 0.256861765503066 0 0.0273633500212209 0.116360311598084 0.102077822641612 0.107106812458015 1.19300528730582 14
chr1 1211041 1211640 0.322622381063126 0.0809733511013154 0.0608179156180968 0.0797953383715889 0.121441652737077 0.110621355410874 0 0 0.102077822641612 0 0.175537697193034 15
chr1 1216632 1217231 0.0553951523143887 0.149196011270662 0 0.223321461272651 0.0649519054279608 0.0588233132451015 0.100417074176612 0 0.102077822641612 0 3.3790971680727 16
chr1 1231938 1232537 0.736287317279383 0.772255677204719 0.411340186247645 0.1471805438154 0.171421902075262 0.38924939000955 0.295678133217496 0 0 0.988581250684319 2.92084240739272 17
chr1 1242154 1242753 0.360294188763093 0.0423711136353327 0.261678640533779 0.0547914845897062 0.216239554496484 0.134373802892045 0.100417074176612 0 0.817183789623722 0.0293529295049579 1.91402622954372 18
chr1 1253613 1254212 0.203737635254308 0.179668391622079 0.114155770573751 0.223321461272651 0.0649519054279608 0.218196917649892 0.100417074176612 0 0 0.0568469415448136 2.96942734832624 19
chr1 1280137 1280736 0.232342144754799 0.149196011270662 0.161653644096701 0.205500741884068 0.216239554496484 0.110621355410874 0.18192072550849 0 0.0787184759555601 0.0568469415448136 2.00547975196856 20
chr1 1292092 1292691 0.322622381063126 0.208142138435908 0.0608179156180968 0.1471805438154 0.194408599810718 0.437839314667175 0.122270940044803 0 0.102077822641612 0.107106812458015 2.54232644539556 21
chr1 1308298 1308897 0.700122827644561 0.872524538194103 0.568872601424085 0.740725765795629 0.389499211110194 0.607023731645091 0.479437097033307 0.116360311598084 0.102077822641612 1.43491205267386 2.37326360087992 22
chr1 1311301 1311900 0.459000239268694 0 0.161653644096701 0 0 0 0.200112281475951 0.062065411915741 0.340905926816024 0.264602510641032 2.96126066609133 23
chr1 1324503 1325102 0.729731595287035 0.512496285699052 0.204464838380731 0.240439662459235 0.294007218802137 0.271906861927548 0.385738507751586 0 0 1.60902742903877 2.76643252746939 24
chr1 1330981 1331580 0.200025978507391 0.0809733511013154 0 0.103438007331925 0.171421902075262 0.0588233132451015 0.100417074176612 0 0.220737620171894 0 1.07885724394393 25
chr1 1334979 1335578 0.268829677409802 0.149196011270662 0 0 0.121441652737077 0.110621355410874 0.100417074176612 0 0.145334724131592 0 3.25112210360419 26
chr1 1352392 1352991 0.518400745353585 0.367776963870467 0.243432209154079 0.302869673779599 0.147150215729107 0.178304564872613 0.429894330799855 0.062065411915741 1.00037984151523 0.264602510641032 3.04346213089576 27
